실태조사응답자일련번호,응답자성별코드,응답자연령대코드,응답자거주지역코드
FFNSR_RSPT_CONNO,RSPT_SXDST_CD,RSPT_AGGRP_CD,RSPT_RSDNC_ARCD
126,F,2,6
128,M,2,6
129,M,1,6
130,F,5,3
131,M,5,6
132,F,4,3
133,F,3,11
134,M,4,6
135,F,3,6
136,F,2,11
137,M,5,3
138,M,5,3
139,F,4,3
140,M,5,6
141,F,4,3
142,F,2,6
143,M,4,6
144,M,1,6
146,F,1,6
147,M,3,3
158,F,1,11
162,F,5,3
163,F,4,3
164,M,1,3
165,F,1,13
167,M,2,3
168,F,2,11
169,M,4,11
170,M,6,11
171,M,3,11
173,F,3,13
174,F,6,11
175,F,3,6
177,M,2,6
179,M,2,6
180,F,3,6
181,M,2,6
182,F,5,11
183,M,1,6
184,F,3,5
185,F,4,6
187,F,3,6
188,F,5,5
189,F,4,5
190,F,1,11
191,F,3,11
192,F,3,11
193,F,4,6
194,M,5,11
196,F,2,11
197,M,1,11
198,F,1,5
199,M,1,11
201,M,1,11
202,F,3,3
203,F,2,3
204,F,1,3
205,M,1,3
206,F,1,3
207,M,4,3
208,M,6,3
209,M,5,3
210,M,6,3
211,F,6,3
212,F,6,3
213,F,6,3
214,F,6,3
215,M,1,13
216,M,1,13
217,F,1,13
219,M,1,13
220,F,3,11
221,F,4,3
222,F,3,11
223,M,1,11
224,F,4,11
225,M,2,11
227,F,2,11
228,M,1,11
235,M,3,11
236,M,2,13
237,F,3,11
239,F,3,3
240,F,2,11
242,F,3,13
244,M,3,3
247,M,2,13
248,F,3,3
249,F,4,11
250,F,3,3
251,M,2,11
252,F,6,11
253,M,4,11
255,F,5,11
256,F,4,11
257,M,4,11
258,M,2,11
259,F,2,3
261,F,3,3
262,F,3,11
263,M,2,11
264,M,1,11
266,F,1,11
267,F,2,3
268,F,4,11
269,F,4,11
270,M,4,3
271,M,6,11
272,F,6,11
273,M,4,11
275,F,2,11
276,M,1,13
277,F,3,3
278,M,4,11
279,M,4,11
280,F,2,3
281,F,6,11
282,F,3,13
283,M,4,11
284,F,6,11
285,M,6,11
287,F,3,5
288,F,2,5
290,M,5,3
291,M,1,3
292,F,5,14
293,M,5,14
294,F,3,13
297,F,4,14
298,F,6,14
299,F,6,14
300,F,2,14
301,F,3,14
302,M,3,14
303,F,6,14
305,M,3,13
307,F,6,11
308,M,4,14
309,M,4,11
310,M,6,14
311,F,4,11
312,F,1,11
313,F,3,14
314,F,2,14
315,M,1,11
317,M,4,14
318,F,4,11
320,F,5,3
321,F,2,14
322,F,5,11
323,M,5,11
324,M,6,3
325,M,2,14
326,F,5,11
327,M,5,11
328,F,4,14
329,F,5,11
330,M,6,11
332,M,6,11
333,M,4,13
334,F,1,14
335,M,3,14
336,M,3,14
337,F,3,13
338,M,3,13
342,F,4,3
343,F,6,11
344,M,3,13
345,M,6,11
346,M,5,11
347,M,4,13
348,F,5,11
349,F,2,13
350,M,3,11
351,M,3,11
352,F,6,11
353,M,3,13
354,F,6,11
355,M,3,13
356,M,4,13
357,F,4,13
358,M,4,13
359,M,5,13
362,M,4,13
363,M,5,11
364,M,4,13
365,F,5,13
366,F,2,13
367,M,5,11
368,M,3,13
369,M,5,11
371,M,5,11
372,M,2,13
373,F,1,11
374,M,3,11
375,M,3,11
376,M,3,11
377,F,2,11
378,M,2,11
379,F,2,13
380,M,2,13
381,M,2,13
382,M,6,13
383,M,5,13
384,M,5,13
385,F,4,13
387,F,4,13
388,F,4,13
389,F,1,7
392,M,1,7
393,F,6,3
394,M,2,3
395,M,1,16
396,M,5,13
397,F,4,3
398,M,5,13
399,M,6,13
400,M,4,14
402,F,5,13
403,M,3,14
404,F,5,13
405,M,4,11
406,M,3,14
407,M,5,14
408,F,6,14
409,F,3,14
410,M,6,7
411,F,1,7
414,M,3,3
415,M,3,3
417,M,4,3
418,M,1,11
419,M,3,11
420,M,2,11
421,M,1,11
422,F,1,7
423,F,2,7
424,M,1,6
425,M,1,6
426,F,2,7
427,F,2,6
428,F,4,3
429,F,1,6
430,F,3,6
431,M,1,6
432,F,5,6
433,F,4,7
434,F,4,7
435,F,4,6
436,M,5,6
437,F,6,6
438,M,1,6
439,M,1,6
440,M,2,6
441,M,3,6
442,M,1,6
443,F,1,6
444,F,2,6
445,F,4,6
446,M,4,6
447,M,2,6
456,F,1,4
457,F,1,13
458,F,1,13
459,M,1,4
460,F,5,13
463,F,5,13
464,M,6,7
465,F,4,16
466,F,6,13
467,F,6,13
468,F,6,13
469,F,1,3
470,F,6,13
471,F,6,4
473,M,5,4
475,F,6,13
476,F,6,13
477,F,4,4
478,F,3,4
479,F,4,4
480,F,6,13
481,F,1,3
482,F,3,4
483,F,4,4
484,M,1,3
485,F,5,3
487,F,2,4
488,F,4,14
490,M,4,3
491,F,4,4
492,F,3,4
493,F,1,3
494,F,3,14
495,M,2,3
496,F,4,4
497,F,4,4
498,F,4,13
499,F,1,7
500,F,1,7
501,F,2,7
503,F,5,13
505,M,5,13
506,M,5,13
508,F,4,13
515,F,1,8
516,M,3,8
519,F,6,8
522,F,5,8
527,M,5,8
531,M,3,13
532,M,4,13
533,M,3,13
534,M,4,13
536,M,3,14
538,F,3,13
539,M,3,14
540,M,2,13
541,F,3,14
542,F,2,14
543,F,1,13
544,F,1,13
545,M,5,1
546,F,4,14
547,M,3,6
548,M,3,13
549,F,4,6
550,M,5,6
551,F,4,6
552,M,2,13
553,F,3,6
554,M,2,14
555,F,5,6
556,F,2,13
557,F,5,6
558,F,5,14
561,M,4,13
564,M,3,13
565,M,5,14
566,M,4,13
567,F,4,14
568,M,3,13
569,F,4,6
571,F,2,13
572,F,1,14
573,M,3,6
574,M,4,4
575,F,1,14
576,M,5,6
577,M,3,13
578,M,4,6
579,M,3,13
580,F,3,14
581,M,3,13
