number,q1.1,q1.3,q1.9
2882,3,4,4
5144,3,4,5
5174,1,3,6
5175,4,3,4
5209,5,1,4
5272,4,3,5
5278,1,4,4
5443,2,2,6
5448,3,3,4
5450,4,3,5
5474,6,3,6
5478,4,3,5
5481,5,3,6
5493,3,3,6
5495,3,3,6
5503,3,3,6
5576,3,3,6
5704,3,3,6
5717,4,3,5
5785,3,3,6
5918,5,2,4
5922,4,3,4
5929,4,4,5
5939,4,4,5
6357,4,4,5
6369,1,2,4
7258,1,2,5
7261,5,3,5
7277,1,2,5
7297,1,2,5
7302,3,4,5
7306,2,3,4
7396,5,3,5
7665,6,4,7
7675,5,4,5
7690,4,2,4
7700,4,3,4
7706,3,3,3
7709,5,1,6
7720,1,2,5
7742,5,2,7
7746,3,2,4
7754,3,3,6
7757,1,2,5
7788,6,2,7
7799,4,4,7
7953,4,2,6
8064,4,3,4
8072,4,1,6
8083,4,3,6
8533,4,3,4
8844,3,3,4
8852,2,4,6
8853,2,3,7
8857,3,3,5
8859,3,3,6
8860,6,4,7
8935,1,1,6
9252,4,3,5
9341,3,2,6
9352,3,1,5
9353,5,3,7
9355,6,4,5
9365,5,4,6
9369,1,3,4
9387,3,1,5
9389,6,4,5
9393,5,2,6
9439,4,3,6
9458,5,3,5
9676,1,4,5
9689,4,4,5
9691,5,3,5
9692,3,2,5
9700,1,2,5
9703,1,3,7
9708,4,3,6
9710,4,3,5
9712,1,3,5
9716,2,1,4
9718,3,3,4
20229,1,1,7
20230,1,4,7
20232,6,3,7
20233,4,2,4
20236,3,1,5
20238,4,4,4
20239,6,4,6
20240,2,3,5
20241,3,3,5
20243,2,1,5
20245,1,2,4
20246,4,3,7
20249,4,4,5
20252,2,4,7
20253,1,4,4
20254,4,4,7
20255,2,2,2
20256,6,4,7
20257,1,1,5
20259,6,4,5
20262,3,4,4
20263,6,3,4
20264,6,4,5
20265,1,3,5
20266,1,3,6
20269,3,4,4
20271,3,3,3
20272,5,2,4
20273,4,3,4
20274,3,3,4
20275,3,4,4
20276,3,4,5
20278,6,4,5
20279,3,4,5
20280,4,4,7
20281,3,3,4
20282,4,4,6
20283,5,4,4
20285,2,1,5
20286,2,1,5
20288,2,3,3
20289,4,3,6
20290,4,4,4
20291,3,3,4
20292,2,1,5
20294,2,2,4
20295,3,3,5
20296,4,4,3
20297,3,3,4
20300,1,2,5
20301,2,1,5
20303,4,3,7
20304,2,2,5
20308,4,4,5
20311,2,3,5
20317,4,3,5
20318,3,1,7
20319,6,2,6
20320,3,3,5
20321,4,4,5
20322,3,3,4
20323,1,3,4
20331,4,4,4
20333,4,4,4
20334,2,2,4
20335,3,1,4
20338,4,2,6
20340,5,4,5
20342,1,3,4
20343,6,4,7
20344,2,3,5
20345,5,2,6
20347,5,2,5
20348,1,3,4
20349,4,3,4
20351,4,2,4
20353,1,2,3
20355,2,4,5
20356,4,2,4
20358,1,2,4
20359,4,3,4
20361,4,2,5
20363,3,3,7
20364,2,4,4
20365,4,3,3
20366,4,4,4
20367,4,4,4
20368,6,4,6
20371,3,4,4
20375,6,4,7
20377,4,4,6
20378,3,3,6
20380,2,3,5
20385,1,3,5
20386,1,2,4
20387,3,2,4
20390,1,2,4
20391,1,1,4
20392,3,4,6
20394,4,3,5
20395,4,3,6
20396,3,4,4
20397,1,3,4
20400,6,3,4
20401,1,3,4
20402,5,3,5
20403,3,1,5
20405,4,4,6
20406,4,3,5
20407,4,4,4
20408,4,2,5
20410,2,3,6
20412,5,2,7
20413,3,3,3
20414,5,3,7
20415,6,4,6
20416,5,3,5
20418,3,4,4
20419,5,4,6
20420,5,3,4
20421,6,2,7
20425,1,2,4
20426,4,3,4
20428,1,2,7
20429,5,4,4
20433,2,2,4
515,3,1,2
519,4,3,6
522,4,3,5
527,6,2,7
602,4,4,6
603,4,3,6
605,3,4,6
614,3,4,4
626,4,4,4
636,6,4,7
639,4,4,7
643,4,3,5
644,4,3,5
647,2,2,5
650,6,3,6
661,3,2,4
699,3,2,5
700,4,4,5
721,1,1,7
728,4,2,5
729,1,1,7
746,4,2,7
754,1,2,6
765,6,4,7
779,4,4,5
782,2,3,3
785,3,3,6
796,4,1,6
801,4,3,5
808,3,3,6
814,1,3,5
817,5,1,6
819,1,2,4
823,1,2,5
827,1,2,4
832,1,2,4
835,3,1,5
837,1,3,4
844,3,3,6
849,3,3,5
859,5,3,6
864,3,1,5
865,4,2,5
867,1,1,7
878,1,3,4
881,3,3,5
886,4,3,5
890,4,3,5
894,1,2,3
904,5,2,6
909,3,3,5
913,2,3,3
915,6,2,6
919,1,2,4
923,2,3,5
924,1,3,4
927,3,3,5
930,2,3,5
932,1,3,3
933,4,4,6
936,4,3,5
939,4,2,4
942,6,4,4
944,6,4,7
945,1,2,5
946,1,1,4
963,4,2,6
965,3,3,6
966,4,4,5
970,1,3,5
972,6,4,7
975,6,4,5
980,5,4,5
982,2,2,6
993,4,4,5
998,4,3,5
999,1,3,3
1001,2,2,6
1007,5,4,5
1011,6,4,4
1013,2,1,6
1016,3,2,5
1019,4,4,5
1023,6,3,5
1025,3,1,6
1026,2,3,3
1027,3,4,6
1030,2,3,4
1033,1,2,3
1037,5,4,5
1043,3,2,6
1044,3,3,4
1045,3,3,4
1046,2,1,5
1047,3,3,4
1049,3,1,6
1051,3,3,4
1055,3,2,6
1057,3,3,4
1061,4,4,6
1062,3,3,4
1064,3,2,4
1065,3,3,5
1069,3,2,6
1070,3,2,4
1074,6,4,7
1076,2,2,6
1077,3,4,4
1082,3,3,4
1083,2,1,5
1084,3,1,6
1087,2,3,3
1096,1,3,4
1097,1,1,6
1107,6,4,7
1131,2,1,6
1140,2,1,6
1142,4,4,5
1144,4,4,6
1145,1,1,5
1147,6,4,7
1150,2,3,4
1153,6,4,7
1154,6,3,6
1156,2,1,5
1158,3,2,4
1160,3,3,4
1162,3,3,5
1167,4,3,5
1169,3,1,4
1171,3,3,4
1180,3,4,5
1183,2,3,3
1185,1,1,4
1187,3,4,6
1189,2,1,5
1193,2,3,6
1194,3,3,5
1198,5,4,3
1200,2,1,6
1203,2,3,3
1208,1,3,5
1210,1,2,5
1212,4,1,6
1213,1,1,3
1214,4,3,7
1219,5,4,5
1222,5,4,7
1224,3,3,5
1227,1,2,6
1232,1,1,7
1233,3,3,4
1235,2,2,6
1239,2,1,4
1244,5,4,6
1246,2,1,4
1249,1,3,6
1250,1,1,6
1254,2,2,7
1255,5,4,7
1256,2,1,6
1257,6,4,5
1259,5,4,7
1260,5,4,7
